inferred_origin_date,0,2,3,4,5,6,7,8,9,11,14,15,16,19,20,21,22,23,24,25,27,28,29,30,31,33,34,35,36,37,39,40,42,46,49,50,51,54,55,56,60,61,64,65,71,72,74,79,80,84,85,86,88,89,90,91,92,93,97,98,99
2017-12-17,5856,0,0,0,0,842,0,0,0,0,0,0,0,0,9338,15299,1125,29038,563,18224,12228,7149,13668,34278,0,3195,0,557,0,0,0,0,0,0,0,90,0,721,390,2766,22483,6902,11358,12816,7982,0,7414,5822,26060,28781,166,2161,52695,0,86,3969,0,995,0,0,0
2017-12-18,21096,0,0,0,0,876,0,0,0,0,0,0,0,0,12362,26883,1168,59138,931,37768,20154,16335,32566,41895,0,8312,143,725,0,0,0,0,0,0,0,15,0,4756,542,3543,48673,8907,21296,15521,17894,0,10617,11033,55306,54449,259,2332,94491,0,386,4646,0,990,0,0,0
2017-12-19,24927,0,0,0,0,781,0,0,0,0,0,0,0,0,12847,29465,1169,59002,1365,37587,20217,16403,34825,41721,0,8194,77,721,0,0,0,0,0,0,0,184,0,5235,583,3377,49386,8895,21304,17451,17957,0,10875,11168,56589,53130,259,2430,95850,0,112,4856,0,1132,0,0,0
2017-12-20,24585,0,0,0,0,834,0,0,0,0,0,0,0,0,12939,28628,1157,59580,1521,37157,19995,16439,34663,41951,0,8040,75,725,0,0,0,0,0,0,0,202,0,4880,621,3593,50000,8733,20386,17714,18145,0,10769,11358,57347,54610,259,2339,95990,0,575,4788,0,1149,0,0,0
2017-12-21,23504,0,0,0,0,853,0,0,0,0,0,0,0,0,12787,29201,1165,59297,921,35183,20230,16484,34909,41948,0,8367,49,709,0,0,0,0,0,0,0,100,0,4955,638,3543,48771,8632,21053,17411,18152,0,10949,11269,55817,54767,260,2336,96734,0,623,4781,0,1172,0,0,0
2017-12-22,19905,0,0,0,0,991,0,0,0,0,0,0,0,0,12854,29631,1164,59444,1458,38108,20272,16462,34642,41014,0,7649,4,700,0,0,0,0,0,0,0,120,0,4721,607,3518,49560,8925,3636,17105,17887,0,10901,10666,57035,54038,260,2345,92310,0,530,4591,0,1158,0,0,0
2017-12-23,7569,0,0,0,0,784,0,0,0,0,0,0,0,0,12221,13937,1141,55622,1525,30224,5772,13625,32115,33109,0,168,0,213,0,0,0,0,0,0,0,79,0,1469,448,3437,46156,8322,20587,14878,17700,0,8761,8899,31123,49608,260,2300,73598,0,94,4460,0,1137,0,0,0
2017-12-24,825,0,0,0,0,316,0,0,0,0,0,0,0,0,3395,4615,351,10268,22,5488,2309,2356,5060,12942,0,0,0,0,0,0,0,0,0,0,0,0,0,91,163,1058,8976,2564,4684,4179,2871,0,2560,2775,12490,12117,0,247,24642,0,0,147,0,0,0,0,0
2017-12-27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,4,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,9,2,4,0,9,0,0,0,43,198,0,0,59,0,0,6,0,0,0,0,0
2017-12-28,10189,0,0,0,0,519,0,0,0,0,0,0,0,0,7529,8865,716,35776,367,17602,12198,8504,16627,20513,0,0,0,564,0,0,0,0,0,0,0,8,0,2045,363,2108,30756,5365,12383,10033,10603,0,5727,5953,23065,30441,200,688,46450,0,0,632,0,0,0,0,0
2017-12-29,14107,0,0,0,0,1055,0,0,0,0,0,0,0,0,12527,14510,1077,59190,621,27420,19938,14067,26848,31920,0,0,0,665,0,0,0,0,0,0,0,14,0,2986,560,3366,49225,8100,19839,16342,17606,0,8991,9952,36852,47636,217,1071,76239,0,0,1039,0,0,0,0,0
2017-12-30,6432,0,0,0,0,827,0,0,0,0,0,0,0,0,11382,14045,1132,54575,672,27651,19624,12963,26141,32280,0,0,0,185,0,0,0,0,0,0,0,0,0,1410,493,3258,48398,8397,19770,14764,17239,0,8811,8236,30698,48082,260,1105,75849,0,0,4751,0,0,0,0,0
2017-12-31,1897,0,0,0,0,545,0,0,0,0,0,0,0,0,7981,10122,567,23604,611,17171,5314,6511,13109,31443,0,0,0,0,0,0,0,0,0,0,0,0,8,74,362,2474,19702,5827,8949,10144,6583,0,6115,5517,26398,22768,0,2292,52602,0,20,1228,0,741,0,0,0
2018-01-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,34,1,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,794,0,21,0,1,0,60,116,0,0,10,0,0,0,0,0,0,0,0
2018-01-02,10196,0,0,0,0,481,0,0,0,0,0,0,0,0,6667,16006,571,30435,767,19211,10837,8605,15114,23156,0,4353,28,572,0,0,0,0,0,0,0,0,0,2533,344,1774,14685,4549,10969,8801,8793,0,5846,5858,30346,29430,260,1206,50293,0,212,2612,0,665,0,0,0
2018-01-03,19276,0,0,0,0,831,0,0,0,0,0,0,0,0,12872,29060,1159,58810,725,37528,20092,16340,34573,41414,0,8245,73,703,0,0,0,0,0,0,0,140,0,4662,601,3420,49671,8731,20473,17550,17686,0,10796,11234,57558,54323,304,2265,93692,0,583,4433,0,1150,0,0,0
2018-01-04,24002,0,0,0,0,845,0,0,0,0,0,0,0,0,12908,29559,1121,60036,1452,37532,20215,16162,34702,41605,0,8245,88,704,0,0,0,0,0,0,0,33,0,4506,539,3447,50629,8870,20489,17709,18087,0,11049,11295,57263,54335,271,2321,97753,0,518,4681,0,1168,0,0,0
