,Route Description,Geography Code,STANOX,TIPLOC
1987,North West,30033,30033,BLCKS
1988,North West,30034,30034,BLCKPB
1989,North West,30035,30035,SQUIRES
1990,North West,30036,30036,STAS
1991,North West,30037,30037,ANSDELL
1992,North West,30038,30038,LYTHAM
1993,North West,30039,30039,MSSD
1994,North West,30041,30041,PLTNLFY
1995,North West,30044,30044,KIRKHAM
1996,North West,30049,30049,KIRKMWJ
1997,North West,30050,30050,SALWICK
1998,North West,30108,30108,OXHYSGL
1999,North West,30116,30116,PRSTNFJ
2000,North West,30120,30120,PRST
2001,North West,30120,30120,PRSTN4B
2002,North West,30120,30120,PRSTUGL
2003,North West,30133,30133,BMBRBDG
2004,North West,30139,30139,LSTHJN
2005,North West,30142,30142,LSTH
2006,North West,30148,30148,PRSTRJN
2007,North West,30150,30150,FRNGTNC
2008,North West,30153,30153,CROT
2009,North West,30155,30155,RUFDORD
2010,North West,30157,30157,BRSCGHJ
2011,North West,30162,30162,LEYLAND
2012,North West,30163,30163,EUXT
2013,North West,30201,30201,CHORBUK
2014,North West,30201,30201,BUKSHAW
2015,North West,30213,30213,CHORLEY
2016,North West,30221,30221,BLRD
2017,North West,30221,30221,BLRDSB
2018,North West,30225,30225,HORWICH
2019,North West,30321,30321,ADNL
2020,North West,30330,30330,LOSTCKP
2021,North West,31031,31031,TODMRDN
2022,North West,31033,31033,RCHDALE
2023,North West,31035,31035,SMBG
2024,North West,31037,31037,LITLBRO
2025,North West,31039,31039,WDEN
2026,North West,31044,31044,CSTL
2027,North West,31049,31049,MLSHILL
2028,North West,31134,31134,VTRLWKS
2029,North West,31303,31303,MSTN
2030,North West,31337,31337,BREWRYS
2031,North West,31510,31510,MNCRVIC
2032,North West,31510,31510,MNCRVHS
2033,North West,31515,31515,MNCRDST
2034,North West,31515,31515,MNCRDS3
2035,North West,31519,31519,SLFDORD
2036,North West,31521,31521,SLFDCT
2037,North West,31565,31565,CLTN
2038,North West,31567,31567,KEARSLY
2039,North West,31569,31569,FRNW
2040,North West,31613,31613,MSGT
2041,North West,31620,31620,BOLTON
2042,North West,31620,31620,BOLTNCS
2043,North West,31739,31739,ECCLES
2044,North West,31742,31742,PTRCRFT
2045,North West,32000,32000,MNCRPIC
2046,North West,32045,32045,ARDWICK
2047,North West,32050,32050,ASHBRYS
2048,North West,32050,32050,ASHBREJ
2049,North West,32050,32050,ASHBRSB
2050,North West,32055,32055,GORTON
2051,North West,32056,32056,FRFD
2052,North West,32061,32061,BLLVUE
2053,North West,32062,32062,RYDRBRW
2054,North West,32063,32063,REDISHN
2055,North West,32064,32064,BRNGTN
2056,North West,32065,32065,BREDBRY
2057,North West,32107,32107,GFLD
2058,North West,32109,32109,MOSSLEY
2059,North West,32111,32111,SBYD
2060,North West,32115,32115,ASHONUL
2061,North West,32117,32117,ASHTMNJ
2062,North West,32210,32210,GIDB
2063,North West,32210,32210,GIDBGEJ
2064,North West,32210,32210,GIDBGNJ
2065,North West,32214,32214,HYDEN
2066,North West,32216,32216,HYDEC
2067,North West,32218,32218,WOODLEY
2068,North West,32222,32222,FLWRYFD
2069,North West,32224,32224,NWTH
2070,North West,32226,32226,GODLY
2071,North West,32230,32230,HATRSLY
2072,North West,32232,32232,BRBM
2073,North West,32243,32243,DNTG
2074,North West,32250,32250,GLSP
2075,North West,32255,32255,HADFILD
2076,North West,32516,32516,LVHM
2077,North West,32517,32517,HTCP
2078,North West,32520,32520,DNTON
2079,North West,32521,32521,REDISHS
2080,North West,32522,32522,BAGE
2081,North West,32524,32524,EDIDBRY
2082,North West,32526,32526,GATLEY
2083,North West,32527,32527,MLDTHRD
2084,North West,32528,32528,STYAL
2085,North West,32529,32529,HLDG
2086,North West,32530,32530,MNCRIAP
2087,North West,32534,32534,STKP
2088,North West,32535,32535,HLDGWJ
2089,North West,32538,32538,DAVNPRT
2090,North West,32539,32539,WMOR
2091,North West,32540,32540,HAZLGHJ
2092,North West,32541,32541,HAZL
2093,North West,32542,32542,MDWD
2094,North West,32543,32543,DISLEY
2095,North West,32544,32544,NWMILSN
2096,North West,32545,32545,FURNESV
2097,North West,32546,32546,WHALYBG
2098,North West,32547,32547,CHEF
2099,North West,32548,32548,DVHL
2100,North West,32550,32550,ROHL
2101,North West,32552,32552,ROMILEY
2102,North West,32553,32553,MARPLE
2103,North West,32554,32554,STRINES
2104,North West,32555,32555,NWMILSC
2105,North West,32557,32557,NWMILSJ
2106,North West,32563,32563,CHDH
2107,North West,32566,32566,HNDFRTH
2108,North West,32568,32568,WLMSL
2109,North West,32571,32571,MACLSFD
2110,North West,32573,32573,PSBY
2111,North West,32575,32575,ADLC
2112,North West,32577,32577,POYNTON
2113,North West,32579,32579,BMHL
2114,North West,32581,32581,ALDEDGE
2115,North West,32583,32583,CHELFD
2116,North West,32584,32584,CHELFDL
2117,North West,33087,33087,MNCROXR
2118,North West,33088,33088,MNCRDGT
2119,North West,33091,33091,TRFDPEJ
2120,North West,33093,33093,TRFDPK
2121,North West,33094,33094,HMPHRYP
2122,North West,33095,33095,URMSTON
2123,North West,33096,33096,FLIXTON
2124,North West,33097,33097,IRLAM
2125,North West,33098,33098,CHASNRD
2126,North West,33102,33102,WATSTJN
2127,North West,34001,34001,CHNLY
2128,North West,34002,34002,CHNLYNJ
2129,North West,34005,34005,EDALE
2130,North West,34009,34009,ERLESDG
2131,North West,34010,34010,HOPD
2132,North West,34011,34011,BAMFORD
2133,North West,34015,34015,HATHRSG
2134,North West,34022,34022,GRNDLFD
2135,North West,34201,34201,BUXTON
2136,North West,35001,35001,SOUTHPT
2137,North West,35001,35001,SOUT087
2138,North West,35003,35003,SOUTWSD
2139,North West,35003,35003,SOUTCHS
2140,North West,35007,35007,SOUT112
2141,North West,35016,35016,MEOLSCP
2142,North West,35018,35018,BESCRLA
2143,North West,35020,35020,NEWLANE
2144,North West,35022,35022,BRSCGHB
2145,North West,35024,35024,HOSCAR
2146,North West,35026,35026,PARBOLD
2147,North West,35050,35050,APLYBDG
2148,North West,35102,35102,GATHRST
2149,North West,35111,35111,WIGANWL
2150,North West,35114,35114,WIGANSJ
2151,North West,35121,35121,INCE
2152,North West,35123,35123,HINDLEY
2153,North West,35125,35125,WSTHOTN
2154,North West,35136,35136,WIGANNW
2155,North West,35136,35136,WIGADPL
2156,North West,35139,35139,ATHERTN
2157,North West,35140,35140,HAGFOLD
2158,North West,35141,35141,DAISYH
2159,North West,35142,35142,WALKDEN
2160,North West,35144,35144,MRSD
2161,North West,35146,35146,SWNT
2162,North West,35152,35152,SPRBJN
2163,North West,35204,35204,GOLBRNJ
2164,North West,35309,35309,PKSDJT
2165,North West,35321,35321,NWTNLW
2166,North West,35325,35325,ERLSTWN
2167,North West,35394,35394,BRYN
2168,North West,35395,35395,GARW
2169,North West,35405,35405,STHLNSC
2170,North West,35437,35437,WHISTON
2171,North West,35439,35439,RHIL
2172,North West,35447,35447,LEGR
2173,North West,35449,35449,STHLNSJ
2174,North West,35505,35505,WINWCKJ
2175,North West,35531,35531,WRGTNBQ
2176,North West,35531,35531,WRGTNHS
2177,North West,35701,35701,RUNCRNE
2178,North West,35703,35703,FRDSHM
2179,North West,36001,36001,ORMSKRK
2180,North West,36005,36005,AGHTNPH
2181,North West,36011,36011,TOWNGRN
2182,North West,36013,36013,MAGHULL
2183,North West,36015,36015,OLDROAN
2184,North West,36027,36027,AINTREE
2185,North West,36027,36027,AINTSFJ
2186,North West,36028,36028,ORELPKH
2187,North West,36029,36029,WALTONM
2188,North West,36040,36040,PBRT
2189,North West,36042,36042,ORRELL
2190,North West,36044,36044,UPHOLND
2191,North West,36046,36046,RNFD
2192,North West,36050,36050,KKBY
2193,North West,36052,36052,FAZKRLY
2194,North West,36053,36053,RICELA
2195,North West,36055,36055,WALTONJ
2196,North West,36055,36055,WALT207
2197,North West,36055,36055,WALT208
2198,North West,36057,36057,KRKDALE
2199,North West,36058,36058,KRKDLCS
2200,North West,36059,36059,BKDLSDG
2201,North West,36060,36060,BKDLE
2202,North West,36061,36061,HILLSID
2203,North West,36061,36061,HILL102
2204,North West,36062,36062,AINSDAL
2205,North West,36063,36063,FRSHFLD
2206,North West,36064,36064,FORMBY
2207,North West,36065,36065,HITN
2208,North West,36066,36066,HALLRD
2209,North West,36068,36068,BLNDLAC
2210,North West,36069,36069,WLOO
2211,North West,36070,36070,SFRTHAL
2212,North West,36071,36071,BOOTLNS
2213,North West,36072,36072,BOOTLOR
2214,North West,36072,36072,MRSHLAJ
2215,North West,36075,36075,BNKHALL
2216,North West,36076,36076,SANDH
2217,North West,36077,36077,SANDHRS
2218,North West,36078,36078,MORFNL
2219,North West,36080,36080,LVRPLCH
2220,North West,36080,36080,LVRPSIH
2221,North West,36081,36081,LVRPCRS
2222,North West,36082,36082,BNWK
2223,North West,36084,36084,STMCHLS
2224,North West,36086,36086,AIGBURT
2225,North West,36088,36088,CRSNGTN
2226,North West,36091,36091,LVRPSPY
2227,North West,36151,36151,LVRPLSH
2228,North West,36151,36151,LVRPLHS
2229,North West,36170,36170,EDGH
2230,North West,36175,36175,EDGHSB
2232,North West,36185,36185,MSLH
2233,North West,36187,36187,WALERTN
2234,North West,36192,36192,ALERTN
2235,North West,36196,36196,ALERTN4
2236,North West,36501,36501,RUNCORN
2237,North West,36515,36515,HALTONJ
2238,North West,36515,36515,SUTW
2239,North West,36599,36599,WVRTTEC
2240,North West,36602,36602,BROADGR
2241,North West,36603,36603,ROBY
2242,North West,36605,36605,HUYTON
2243,North West,36611,36611,PRESCOT
2244,North West,36615,36615,ECPK
2245,North West,36616,36616,THHT
2246,North West,36702,36702,HUNTSX
2247,North West,36702,36702,HUNTSXS
2248,North West,36703,36703,HOUGHGR
2249,North West,36704,36704,HALW
2250,North West,36705,36705,WIDNES
2251,North West,36706,36706,SANKEY
2252,North West,36711,36711,WRGT
2253,North West,36714,36714,PADGATE
2254,North West,36716,36716,BIRCHWD
2255,North West,36719,36719,GLAZBRK
2256,North West,36720,36720,GLAZBKE
2257,North West,37001,37001,ACBG
2258,North West,37005,37005,HARTFD
2259,North West,37011,37011,WNSFD
2260,North West,37065,37065,MLDSWTH
2261,North West,37065,37065,MLDSWTJ
2262,North West,37067,37067,DELAMER
2263,North West,37069,37069,CUDNGTN
2264,North West,37073,37073,GBNK
2265,North West,37129,37129,NTHWICH
2266,North West,37209,37209,LSTG
2267,North West,37211,37211,PLUMLEY
2268,North West,37221,37221,KNUTSFD
2269,North West,37222,37222,MOBERLY
2270,North West,37223,37223,ASHLEY
2271,North West,37224,37224,HALE
2272,North West,37225,37225,ALTRNHM
2273,North West,37227,37227,NAVGTNR
2274,North West,37231,37231,MDLW
2275,North West,38001,38001,WKIRBY
2276,North West,38001,38001,WKIRSD1
2277,North West,38003,38003,WKIRSD2
2278,North West,38004,38004,HOYLAKE
2279,North West,38004,38004,HOYLCHS
2280,North West,38005,38005,MNRD
2281,North West,38006,38006,MELS
2282,North West,38008,38008,MOTO
2283,North West,38009,38009,LEASOWE
2284,North West,38010,38010,NBTN
2285,North West,38010,38010,NBTNSD1
2286,North West,38010,38010,NBTNSD2
2287,North West,38010,38010,NBTNWSG
2288,North West,38011,38011,NBTN606
2289,North West,38012,38012,BDSTON
2290,North West,38016,38016,WALASYV
2291,North West,38018,38018,WALAGRD
2292,North West,38031,38031,UPTON
2293,North West,38033,38033,HESWALL
2294,North West,38035,38035,NESTON
2295,North West,38151,38151,BRKNHDN
2296,North West,38151,38151,BRKN570
2297,North West,38153,38153,BRKNHDP
2298,North West,38155,38155,BRKNEWR
2299,North West,38155,38155,BRKNUDS
2300,North West,38155,38155,BRKNMUD
2301,North West,38157,38157,BRKNCPK
2302,North West,38181,38181,MORFLDS
2303,North West,38182,38182,LVRPLSL
2304,North West,38183,38183,LVRPLCL
2305,North West,38184,38184,JAMESST
2306,North West,38184,38184,JAME537
2307,North West,38184,38184,JAME504
2308,North West,38184,38184,JAMESDG
2309,North West,38185,38185,HAMTSQ
2310,North West,38200,38200,BRKNHDC
2311,North West,38200,38200,BRKN718
2312,North West,38201,38201,ROCKFRY
2313,North West,38201,38201,ROCK735
2314,North West,38201,38201,ROCKUDG
2315,North West,38202,38202,GNLN
2316,North West,38203,38203,ROCK722
2317,North West,38208,38208,BEBNGTN
2318,North West,38210,38210,PSLT
2319,North West,38214,38214,SPITAL
2320,North West,38216,38216,BRMBRK
2321,North West,38218,38218,BRMB
2322,North West,38220,38220,ESTHRAK
2323,North West,38302,38302,HOOTON
2324,North West,38304,38304,CPNHRST
2325,North West,38306,38306,BACHE
2326,North West,38314,38314,LTLSUTN
2327,North West,38316,38316,OPOL
2328,North West,38317,38317,ELSMPRT
2329,North West,38372,38372,STNLWAT
2330,North West,38379,38379,INEL
2331,North West,38384,38384,HELSBY
2332,North West,40209,40209,SHOTTON
2333,North West,40238,40238,CHSTRSJ
2334,North West,40320,40320,CHST
2335,North West,40320,40320,CHSTRMY
2336,North West,40320,40320,CHSTRDT
2337,North West,40320,40320,CHSTYD
2338,North West,40322,40322,MIKLTRF
2339,North West,42002,42002,GOOSTRY
2340,North West,42004,42004,HCHP
2341,North West,42012,42012,SBCH
2342,North West,42016,42016,CREWUML
2343,North West,42128,42128,CREWECY
2344,North West,42140,42140,CREWE
2345,North West,42140,42140,CREWUDL
2346,North West,42143,42143,CREWSJN
2347,North West,42143,42143,CREWOCG
2348,North West,42151,42151,CREWPLP
2349,North West,42166,42166,CREWEGL
2350,North West,42414,42414,BTHLYJN
2351,North West,43013,43013,CONGLTN
2352,West Coast Mainline South,42302,42302,MADELEY
2353,West Coast Mainline South,42312,42312,NTNB
2354,West Coast Mainline South,42412,42412,ALSAGER
2355,West Coast Mainline South,42412,42412,ALSAEJN
2356,West Coast Mainline South,43031,43031,KIDSGRV
2357,West Coast Mainline South,43044,43044,LNGP
2358,West Coast Mainline South,43211,43211,STOKEOT
2359,West Coast Mainline South,43308,43308,STONE
2360,West Coast Mainline South,43314,43314,STAFFRD
2361,West Coast Mainline South,43331,43331,RUGL
2362,West Coast Mainline South,62035,62035,BESJOHN
2363,West Coast Mainline South,62040,62040,KMPSTNH
2364,West Coast Mainline South,62043,62043,STWRTBY
2365,West Coast Mainline South,62044,62044,MLBRKB
2366,West Coast Mainline South,62047,62047,LDLNGTN
2367,West Coast Mainline South,62049,62049,RIDGMNT
2368,West Coast Mainline South,62051,62051,ASPLEYG
2369,West Coast Mainline South,62053,62053,WOBURNS
2370,West Coast Mainline South,62055,62055,BOWBRKH
2371,West Coast Mainline South,62057,62057,FSTR
2372,West Coast Mainline South,65311,65311,LCHTTVL
2373,West Coast Mainline South,69001,69001,TMWTHLL
2374,West Coast Mainline South,69007,69007,PWTH
2375,West Coast Mainline South,69009,69009,ATHRSTN
2376,West Coast Mainline South,69021,69021,NNTN
2377,West Coast Mainline South,69025,69025,BRINKLW
2378,West Coast Mainline South,69103,69103,BERMPRK
2379,West Coast Mainline South,69106,69106,BEDWRTH
2380,West Coast Mainline South,69195,69195,RUGBLLJ
2381,West Coast Mainline South,70030,70030,RUGBY
2382,West Coast Mainline South,70091,70091,LNGBKBY
2383,West Coast Mainline South,70100,70100,NMPTN
2384,West Coast Mainline South,70100,70100,NMPTBAY
2385,West Coast Mainline South,70201,70201,HANSLPJ
2386,West Coast Mainline South,70215,70215,WLVR
2387,West Coast Mainline South,70261,70261,MKNSCEN
2388,West Coast Mainline South,70306,70306,BLTCHLY
2389,West Coast Mainline South,70311,70311,CYDNJN
2390,West Coast Mainline South,70319,70319,CHDNGTN
2391,West Coast Mainline South,70320,70320,LEDBRNJ
2392,West Coast Mainline South,70321,70321,LTNBZRD
2393,West Coast Mainline South,70411,70411,TRING
2394,West Coast Mainline South,70421,70421,BERKHMD
2395,West Coast Mainline South,71011,71011,HEMLHMP
2396,West Coast Mainline South,71022,71022,KLGL
2397,West Coast Mainline South,71023,71023,APSLEY
2398,West Coast Mainline South,71030,71030,STALBNA
2399,West Coast Mainline South,71032,71032,PKST
2400,West Coast Mainline South,71034,71034,HOWWOOD
2401,West Coast Mainline South,71036,71036,BCWD
2402,West Coast Mainline South,71038,71038,GRSTH
2403,West Coast Mainline South,71039,71039,WATFDN
2404,West Coast Mainline South,71040,71040,WATFDJ
2405,West Coast Mainline South,72000,72000,WATFJDC
2406,West Coast Mainline South,72001,72001,BUSHYDC
2407,West Coast Mainline South,72002,72002,WATFDHS
2408,West Coast Mainline South,72003,72003,BUSHEY
2409,West Coast Mainline South,72004,72004,CRPNDPK
2410,West Coast Mainline South,72005,72005,HTCHEND
2411,West Coast Mainline South,72006,72006,HEDSTNL
2412,West Coast Mainline South,72007,72007,HROW
2413,West Coast Mainline South,72008,72008,KTON
2414,West Coast Mainline South,72009,72009,SKENTON
2415,West Coast Mainline South,72010,72010,NWEMBLY
2416,West Coast Mainline South,72013,72013,NWEMJN
2417,West Coast Mainline South,72017,72017,HROWDC
2418,West Coast Mainline South,72020,72020,WMBYDC
2419,West Coast Mainline South,72021,72021,WMBY
2420,West Coast Mainline South,72027,72027,WMBYEFT
2421,West Coast Mainline South,72031,72031,STNBGPK
2422,West Coast Mainline South,72033,72033,HARLSDN
2423,West Coast Mainline South,72237,72237,MTRBDGJ
2424,West Coast Mainline South,72268,72268,WLSDWLJ
2425,West Coast Mainline South,72271,72271,WLSDTMD
2426,West Coast Mainline South,72272,72272,KENSLG
2427,West Coast Mainline South,72277,72277,WLSDLLB
2428,West Coast Mainline South,72277,72277,WLSDNJL
2429,West Coast Mainline South,72280,72280,WLSDLDC
2430,West Coast Mainline South,72281,72281,WLSDLUC
2431,West Coast Mainline South,72310,72310,QPRKAC
2432,West Coast Mainline South,72311,72311,QPRK
2433,West Coast Mainline South,72313,72313,KLBRNHR
2434,West Coast Mainline South,72314,72314,SHMPSTD
2435,West Coast Mainline South,72315,72315,CMDNJN
2436,West Coast Mainline South,72316,72316,CMDNSTH
2437,West Coast Mainline South,72318,72318,CMDN801
2438,West Coast Mainline South,72410,72410,EUSTON
2439,Scotland,1001,1001,THURSO
2440,Scotland,1005,1005,WICK
2441,Scotland,1008,1008,GRGMASJ
2442,Scotland,1008,1008,GRGMYLC
2443,Scotland,1009,1009,SCSCLDR
2444,Scotland,1010,1010,ALTNBRC
2445,Scotland,1012,1012,FORSNRD
2446,Scotland,1012,1012,FORSNLC
2447,Scotland,1013,1013,KINBRAC
2448,Scotland,1015,1015,KILDONN
2449,Scotland,1016,1016,HELMSDL
2450,Scotland,1021,1021,BRORA
2451,Scotland,1021,1021,BRORALC
2452,Scotland,1021,1021,BRORDLC
2453,Scotland,1023,1023,DNROBIN
2454,Scotland,1024,1024,GOLSPIE
2455,Scotland,1024,1024,GOLSKLC
2456,Scotland,1027,1027,ROGART
2457,Scotland,1031,1031,LAIRG
2458,Scotland,1031,1031,LAIRGLC
2459,Scotland,1035,1035,INVRSHN
2460,Scotland,1037,1037,CULRAIN
2461,Scotland,1041,1041,ARDGAY
2462,Scotland,1044,1044,TAIN
2463,Scotland,1047,1047,FEARN
2464,Scotland,1053,1053,IVRGRD
2465,Scotland,1053,1053,IVRGRCE
2466,Scotland,1058,1058,ALNESS
2467,Scotland,1060,1060,EVNTNIB
2468,Scotland,1060,1060,EVANTON
2469,Scotland,1069,1069,FDRTYIB
2470,Scotland,1071,1071,KYLELSH
2471,Scotland,1071,1071,KYLELCE
2472,Scotland,1072,1072,DUIRNSH
2473,Scotland,1073,1073,PLOCKTN
2474,Scotland,1074,1074,DUNCRAG
2475,Scotland,1075,1075,STRMFRY
2476,Scotland,1076,1076,ATADALE
2477,Scotland,1077,1077,STCN
2478,Scotland,1077,1077,STCNLC
2479,Scotland,1078,1078,ACHHSHL
2480,Scotland,1078,1078,ACHHBLC
2481,Scotland,1079,1079,ACHNSHN
2482,Scotland,1081,1081,ACHANLT
2483,Scotland,1082,1082,LCHLCHR
2484,Scotland,1083,1083,GARVE
2485,Scotland,1083,1083,GARVELC
2486,Scotland,1089,1089,BEAULY
2487,Scotland,1091,1091,DINGWAL
2488,Scotland,1091,1091,DING1LC
2489,Scotland,1091,1091,DINGMLC
2490,Scotland,1091,1091,DING2LC
2491,Scotland,1093,1093,CLUNSIB
2492,Scotland,1094,1094,MUROORD
2493,Scotland,1100,1100,IVRNESS
2494,Scotland,1100,1100,IVRNALC
2495,Scotland,1100,1100,IVRNBLC
2496,Scotland,1100,1100,IVRNMRT
2497,Scotland,1101,1101,CONONBR
2498,Scotland,1120,1120,WSBG
2500,Scotland,1125,1125,NAIRN
2501,Scotland,1127,1127,FORRES
2502,Scotland,1128,1128,FORRESL
2503,Scotland,1131,1131,CULDNMR
2504,Scotland,1133,1133,MOYY
2505,Scotland,1134,1134,TOMATIN
2506,Scotland,1136,1136,SLOCHD
2507,Scotland,1138,1138,CARRBDG
2508,Scotland,1144,1144,AVIEMRE
2509,Scotland,1145,1145,KNCRAIG
2510,Scotland,1147,1147,KGUSSIE
2511,Scotland,1151,1151,NWTM
2512,Scotland,1154,1154,DALWHIN
2513,Scotland,2006,2006,ELGINSB
2514,Scotland,2007,2007,ELGIN
2515,Scotland,2014,2014,KEITHLP
2516,Scotland,2015,2015,KEITH
2517,Scotland,2021,2021,HNTL
2518,Scotland,2024,2024,KNMTSB
2519,Scotland,2029,2029,INSCH
2520,Scotland,2031,2031,INVURIE
2521,Scotland,2042,2042,DYCE
2522,Scotland,2071,2071,ABRDEEN
2523,Scotland,2109,2109,PLTH
2524,Scotland,2113,2113,SHVN
2525,Scotland,3001,3001,LRNCKRK
2526,Scotland,3014,3014,MONTRSE
2527,Scotland,3014,3014,MONTDTS
2528,Scotland,3018,3018,USAN
2529,Scotland,3023,3023,ARBROTH
2530,Scotland,3031,3031,CNST
2531,Scotland,3032,3032,GOLFSTR
2532,Scotland,3038,3038,BRRYLNK
2533,Scotland,3039,3039,MONIFTH
2534,Scotland,3040,3040,BALMOSS
2535,Scotland,3041,3041,BRFRY
2536,Scotland,3053,3053,DUNDCJ
2537,Scotland,3053,3053,DUNDCJC
2538,Scotland,3054,3054,DUNDETB
2539,Scotland,3067,3067,INVGWRE
2540,Scotland,3101,3101,BLARATH
2541,Scotland,3102,3102,PTLCHRY
2542,Scotland,3106,3106,DUNKELD
2543,Scotland,3140,3140,PERTH
2544,Scotland,3140,3140,PERTHHS
2545,Scotland,3140,3140,PERTH3P
2546,Scotland,3149,3149,HILTONJ
2547,Scotland,3153,3153,GLNEGLS
2548,Scotland,3161,3161,DUNANE
2549,Scotland,3161,3161,DUNADPL
2550,Scotland,3161,3161,DUNANCE
2551,Scotland,3165,3165,BGOALAN
2552,Scotland,3203,3203,LEUCHRS
2553,Scotland,3205,3205,CUPAR
2554,Scotland,3207,3207,SPFD
2555,Scotland,3218,3218,LADY668
2556,Scotland,3220,3220,LADYBHL
2557,Scotland,3221,3221,LADYBNK
2558,Scotland,3226,3226,MKIN
2559,Scotland,3237,3237,THRNTSJ
2560,Scotland,3237,3237,GLNR558
2561,Scotland,3237,3237,GLNR556
2562,Scotland,3238,3238,THRNUPL
2563,Scotland,3241,3241,GLNRTHS
2564,Scotland,3248,3248,CDND
2565,Scotland,3249,3249,LCHGLLY
2566,Scotland,3256,3256,CWDNBTH
2567,Scotland,3272,3272,KCLD
2568,Scotland,3283,3283,KGHN
2569,Scotland,3291,3291,BISLND
2570,Scotland,3291,3291,BISLNDJ
2571,Scotland,3295,3295,ABDO
2572,Scotland,3298,3298,DALGETY
2573,Scotland,3319,3319,DNFRMQM
2574,Scotland,3321,3321,DNFRMLE
2575,Scotland,3323,3323,ROSYTH
2576,Scotland,3331,3331,IVRKTHG
2577,Scotland,3336,3336,IVRKUPL
2578,Scotland,3338,3338,NQNSFRY
2579,Scotland,3375,3375,ALLOA
2580,Scotland,3377,3377,CMUSLP
2581,Scotland,3401,3401,STIRLNG
2582,Scotland,4010,4010,BTHGATE
2583,Scotland,4025,4025,LVNSTNN
2584,Scotland,4028,4028,UPHALL
2585,Scotland,4032,4032,NWBG
2586,Scotland,4039,4039,EDINPRK
2587,Scotland,4086,4086,FAULDHS
2588,Scotland,4088,4088,BREICH
2589,Scotland,4090,4090,ADIEWEL
2590,Scotland,4101,4101,WCALDER
2591,Scotland,4102,4102,LVNSTNS
2592,Scotland,4105,4105,SLATEFD
2593,Scotland,4112,4112,KRKNWTN
2594,Scotland,4114,4114,CURRIEH
2595,Scotland,4116,4116,WHAILES
2596,Scotland,4118,4118,KNGW
2597,Scotland,4201,4201,DLMY
2598,Scotland,4203,4203,DLMYJN
2599,Scotland,4204,4204,DLMYUPL
2600,Scotland,4205,4205,DLMYDPL
2601,Scotland,4211,4211,STHGYLE
2602,Scotland,4221,4221,HAYMRWJ
2603,Scotland,4225,4225,HAYMRCJ
2604,Scotland,4235,4235,HAYMRKT
2605,Scotland,4291,4291,PRNCSTG
2606,Scotland,4303,4303,EDINBUR
2607,Scotland,4304,4304,EDINGWY
2608,Scotland,4309,4309,ABHLJN
2609,Scotland,4635,4635,BRUSTAN
2610,Scotland,4641,4641,PORTOBL
2611,Scotland,4709,4709,ESKBANK
2612,Scotland,4710,4710,GOREBRG
2613,Scotland,4711,4711,NWTGRNG
2614,Scotland,4712,4712,SHWFAIR
2615,Scotland,4713,4713,STOW
2616,Scotland,4714,4714,TWDBANK
2617,Scotland,4715,4715,GALASLS
2618,Scotland,4718,4718,NCRAGHA
2619,Scotland,4803,4803,MSELBGH
2620,Scotland,4809,4809,WALLYFD
2621,Scotland,4811,4811,PPAN
2622,Scotland,4812,4812,PPANUPL
2623,Scotland,4817,4817,LNGNDRY
2624,Scotland,4821,4821,DREMJ
2625,Scotland,4824,4824,NBERWCK
2626,Scotland,4827,4827,DUNBAR
2627,Scotland,4834,4834,GTHS
2628,Scotland,4834,4834,GTHSDPL
2629,Scotland,4834,4834,GTHSUPL
2630,Scotland,5009,5009,LARBERT
2631,Scotland,5009,5009,LARBERN
2632,Scotland,5009,5009,LARBRTY
2633,Scotland,5015,5015,LARBERJ
2634,Scotland,5017,5017,CRMRSWJ
2635,Scotland,5019,5019,CRMRSEJ
2636,Scotland,5022,5022,GNHL427
2637,Scotland,5022,5022,GNHLLJN
2638,Scotland,5024,5024,GNHLUJN
2639,Scotland,5037,5037,CAMELON
2640,Scotland,5041,5041,FALKRKG
2641,Scotland,5109,5109,FALKRKH
2642,Scotland,5111,5111,POLMONT
2643,Scotland,5119,5119,LNLTHGW
2644,Scotland,5125,5125,WNCBROJ
2645,Scotland,6001,6001,MLAIG
2646,Scotland,6002,6002,MORAR
2647,Scotland,6004,6004,ARISAIG
2648,Scotland,6005,6005,BEASDAL
2649,Scotland,6006,6006,LCHALRT
2650,Scotland,6008,6008,GLNFNNN
2651,Scotland,6009,6009,LCHESDE
2652,Scotland,6010,6010,CORPACH
2653,Scotland,6013,6013,BANAVIE
2654,Scotland,6014,6014,LCEILOB
2655,Scotland,6025,6025,FRTWLM
2656,Scotland,6027,6027,SPEANBD
2657,Scotland,6028,6028,ROYBDGE
2658,Scotland,6029,6029,TULLOCH
2659,Scotland,6031,6031,CORROUR
2660,Scotland,6035,6035,RANNOCH
2661,Scotland,6037,6037,BOORCHY
2662,Scotland,6039,6039,TYNDRMU
2663,Scotland,6041,6041,OBAN
2664,Scotland,6046,6046,CONNELF
2665,Scotland,6048,6048,TAYNULT
2666,Scotland,6050,6050,FLSCRHN
2667,Scotland,6051,6051,LOCHAWE
2668,Scotland,6053,6053,DLMALLY
2669,Scotland,6055,6055,TYNDRML
2670,Scotland,6058,6058,CRNLRCH
2671,Scotland,6059,6059,ARDLUI
2672,Scotland,6101,6101,ARCHRAT
2673,Scotland,6104,6104,GLDL
2674,Scotland,6105,6105,GRLCHHD
2675,Scotland,6108,6108,HLNSBRU
